,Name,Code,ICAO
566,Challenge Airlines IL,5C,ICL
567,Cham Wings Airlines,,SAW
568,Charter Jets,,LTC
569,Chartright Air,,HRT
570,CHC Helicopter,,HMB
571,CHC Helicopters Netherlands,,HNL
572,CHC Helicopters Nigeria,,ATQ
573,CHC Helikopter Service,,HKS
574,CHC International,,GCY
575,Chengdu Airlines,EU,UEA
576,Chervon,,GLH
577,Chicago Jet Group,,WDY
578,China - Air Force,,CKJ
579,China - Civil Aviation Administration,,CFI
580,China Airlines,CI,CAL
581,China Cargo Airlines,CK,CKK
582,China Eastern Airlines,MU,CES
583,China Express Airlines,G5,HXA
584,China Postal Airlines,CF,CYZ
585,China Southern Airlines,CZ,CSN
586,China Southern Cargo,,CSG
587,China United Airlines,KN,CUA
588,Chodang University,,CDQ
589,Chongqing Airlines,OQ,CQN
590,Chrono Aviation,MB,NDL
591,Chrono Jet,MB,MBK
592,Cinnamon Air,C7,CIN
593,Circadian Aviation,,CYC
594,CITIC Offshore Helicopter,,CHC
595,Citilink,QG,CTV
596,City Airlines,VL,LHX
597,Cityjet,WX,BCY
598,Civil Air Patrol,,CAP
599,Class Aviation,,DUC
600,Clic,VE,EFY
601,Clipper Jet,,ORO
602,CM Airlines,H5,OMT
603,CMA CGM AirCargo,2C,CMA
604,Coastal Aviation,CQ,CSV
605,Cobalt Air,CO,FCB
606,Cobham Aviation Services Australia,,NJS
607,Colombia - Air Force,,FAC
608,Colorful Guizhou Airlines,GY,CGZ
609,Comlux,,CLA
610,Comlux Aruba,CS,CXB
611,Comlux Kazakhstan,,KAZ
612,Comlux Malta,,MLM
613,CommuteAir,C5,UCA
614,Compagnia Aeronautica Italiana,,CPI
615,Compass Cargo Airlines,HQ,ADZ
616,Conair,,FGD
617,Condor,DE,CFG
618,Congo Airways,8Z,CGA
619,Connect Linhas Aereas,6C,CNT
620,Conquest Air,C4,QAI
621,Constanta Airline,,UZA
622,Contour Aviation,LF,VTE
623,Conviasa,V0,VCV
624,Copa Airlines,CM,CMP
625,Copenhagen Airtaxi,,CAT
626,Corendon Airlines,XC,CAI
627,Corendon Airlines Europe,XR,CXI
628,Corendon Dutch Airlines,CD,CND
629,Corporate Air,,CPT
630,Corporate Air,,MLN
631,Corsair,SS,CRL
632,Costa Rica - Ministry of Public Security,,MSP
633,Costa Rica Green Airways,GW,CRG
634,Coulson Aviation,,CUL
635,Cristalux,Z7,AUZ
636,Croatia - Air Force,,HRZ
637,Croatia Airlines,OU,CTN
638,Cronos Airlines,C8,CRA
639,Cronos Airlines Benin,C9,CKL
640,Crown Airlines,FQ,CWN
641,Crystal Air,,CYT
642,CSA Air,,IRO
643,CSI Aviation,,CSI
644,Cubana,CU,CUB
645,Cygnus Air,,RGN
646,Cyprus Airways,CY,CYP
647,Czech Airlines,OK,CSA
648,Czechia - Air Force,,CEF
649,Czechia - Government,,CIE
650,Daallo Airlines,D3,DAO
651,Dalian Airlines,,CCD
652,Dan Air,DN,JOC
653,Dana Air,9J,DAN
654,DAS Private Jets,,DWW
655,Dassault Falcon Service,,DSO
656,DAT,DX,DTR
657,DAT LT,R6,DNU
658,DB Aviation,,DBT
659,DC Aviation,,DCW
660,DC Aviation,,DCS
661,DC Aviation San Marino,,DCU
662,DEA Aviation,,WKT
663,Deer Jet,,DER
664,Deer Jet Beijing,,BDJ
665,Delta Air Lines,DL,DAL
666,Delta State University,,DSU
667,Denmark - Army,,DAR
668,Denmark - Navy,,DNY
669,Denmark -Air Force,,DAF
670,Desert Jet,,DJR
671,Desert Wings Aviation,,DWA
672,DesertAir Alaska,,DAZ
673,Deucalion Aviation,,DLN
674,Dexter Air Taxi,,DXT
675,DHL,D0,DHK
676,DHL Aero Expreso,D5,DAE
677,DHL Air Austria,Q7,DHA
678,DHL Aviation EEMEA,ES,DHX
679,Diamond Sky,,DMS
680,Discover Airlines,4Y,OCN
681,Divi Divi Air,3R,DVR
682,Donghai Airlines,DZ,EPA
683,Dornier Aviation Nigeria Aiep,DO,DAV
684,Douniah Airlines,DH,DTS
685,DragonFly Executive,,CBM
686,Dreamline Aviation,,DLX
687,DRF Luftrettung,1I,AMB
688,Dronamics Europe Airlines,OY,DXE
689,Druk Air,KB,DRK
690,Dubai Air Wing,,DUB
691,Duke Energy Business Services,,GGW
692,E+S Air,,CAH
693,E-Aviation,,EFD
694,E-Cargo Airlines,RF,ERF
695,EADS CASA,,AED
696,Eagle Air,,EGE
697,Eagle Air,,EGU
698,Eagle Air Iceland,,FEI
699,Eagle Atlantic Airlines,,EAB
700,Eagle Creek Aviation,,EGC
701,EagleMed,,EMD
702,East Coast Jets,,ECJ
703,East Wing,,EWZ
704,East-West Express,,EWU
705,Eastar Jet,ZE,ESR
706,Eastern Airlines,,EAL
707,Eastern Airways,T3,EZE
