,Name,Code,ICAO
1656,Saudi Arabia - Royal Flight,,SRA
1657,Saudia,SV,SVA
1658,Saurya Airlines,,SAU
1659,Sawyer Aviation,,SJA
1660,SaxonAir,,SXN
1661,Scanwings,,ABF
1662,SCAT,DV,VSV
1663,Schmiedel Air Service,,SAB
1664,Scoot,TR,TGW
1665,Seaborne,BB,SBS
1666,SEair International,XO,SGD
1667,Searca,,SRC
1668,Secure Air Charter,,JCM
1669,SelectJet,,JSL
1670,Sepehran Airlines,IS,SHI
1671,Serbia - Air Force,,SRB
1672,Serene Air,ER,SEP
1673,Servicios Optimos de Aeroenlace,,ENL
1674,Servizi Aerei,,SNM
1675,Sevenair,,RVP
1676,Severstal Aircompany,D2,SSF
1677,SF Airlines,O3,CSS
1678,Shandong Airlines,SC,CDG
1679,Shandong Dagao International Flight Academy,,RXF
1680,Shanghai Airlines,FM,CSH
1681,Shell Aviation,,PEX
1682,Shenzhen Airlines,ZH,CSZ
1683,Shirak Avia,5G,SHS
1684,Shree Airlines,N9,SHA
1685,Shuttle America,S5,TCF
1686,Siam General Aviation,5E,SGN
1687,Sichuan Airlines,3U,CSC
1688,Sideral Linhas Aereas,,SID
1689,Sierra Charlie Aviation,,SCA
1690,Sierra Pacific Airlines,SI,SPA
1691,Sierra West Airlines,,PKW
1692,Silesia Air,,SUA
1693,Silk Way Airlines,ZP,AZQ
1694,Silk Way West Airlines,7L,AZG
1695,Silkavia,US,USA
1696,Silver Air,,SIS
1697,Silver Air,,SLD
1698,Silver Airways,3M,SIL
1699,Silver Cloud Air,,SCR
1700,Silverhawk Aviation,,SLH
1701,Simrik Airlines,,RMK
1702,Singapore - Air Force,,SAF
1703,Singapore Airlines,SQ,SIA
1704,Singapore Airlines Cargo,,SQC
1705,Sino Jet,,SJM
1706,Sino Jet Beijing,,JBE
1707,Sirio,,SIO
1708,Sirius Aero,SA,CIG
1709,SKS Airways,KI,SJB
1710,Sky Airline,H2,SKU
1711,Sky Airline Peru,H8,SKX
1712,Sky Angkor Airlines,ZA,SWM
1713,Sky Bus,,HVY
1714,Sky Cana,RD,SNA
1715,SKY express,GQ,SEH
1716,Sky Fru,,KGZ
1717,Sky Helicopteros,,HSY
1718,Sky Jet M.G.,DU,LIZ
1719,Sky KG Airlines,,KGK
1720,Sky Lease Cargo,GG,KYE
1721,Sky Mali,ML,FML
1722,Sky Prime Aviation,,SPD
1723,Sky Quest,,ERY
1724,Sky Shuttle Helicopters,A7,HHK
1725,Sky Vision Airlines,,SVI
1726,SkyAlps,BQ,SWU
1727,Skyborne Airline Academy,,SFY
1728,Skybridge,,KYB
1729,Skybus,,IOS
1730,SkyCare,,PHX
1731,Skyfirst,,KFE
1732,SKYhigh Dominicana,DO,SHH
1733,SkyJet Airlines,M8,MSJ
1734,Skyline Express,QU,UTN
1735,SkyLink Express,,SLQ
1736,Skymark Airlines,BC,SKY
1737,Skymark Executive,,SMB
1738,Skypower Express Airways,NV,EAN
1739,Skyservice Business Aviation,,SYB
1740,Skyside,,SKV
1741,Skytaxi,TE,IGA
1742,Skytrack Systems,,TTQ
1743,Skytrans,QN,SKP
1744,SkyUp Airlines,PQ,SQP
1745,SkyUp MT,U5,SEU
1746,Skyvalue Airways,4A,DYN
1747,Skyward Express,OW,SEW
1748,Skyway Enterprises,,SKZ
1749,SkyWest Airlines,OO,SKW
1750,SkyWest Charter,CW,SCW
1751,Slam Lavori Aerei,,SLJ
1752,Sloane Helicopters,,SLN
1753,Slovakia - Air Force,,SQF
1754,Slovakia - Government,,SSG
1755,Slovenia - Air Force,,LSV
1756,Slovenia - Government,,GSI
1757,Smart Aviation,,SME
1758,Smart Jet,,SAH
1759,Smart Jet International,,SJI
1760,Smartavia,5N,AUL
1761,Smartline,,SMG
1762,SmartLynx,6Y,ART
1763,SmartLynx Estonia,,MYX
1764,SmartLynx Malta,2N,LYX
1765,Smartwings,QS,TVS
1766,Smartwings Hungary,7O,TVL
1767,Smartwings Poland,3Z,TVP
1768,Smartwings Slovakia,6D,TVQ
1769,Solairus Aviation,,TWY
1770,Solaseed Air,6J,SNJ
1771,Solenta Aviation,,SET
1772,Solenta Aviation Cote D'Ivoire,,SIV
1773,Solenta Aviation Gabon,,SVG
1774,Solid Air,,SOX
1775,Solinair,ZS,SOP
1776,Solomon Airlines,IE,SOL
1777,Soma Jets,,OZK
1778,Somon Air,SZ,SMR
1779,Songbird Airways,6K,SGB
1780,Sounds Air,,SDA
1781,South Africa - Air Force,,LMG
1782,South African Airways,SA,SAA
1783,Southern Air Charter,PL,SOA
1784,Southern Airways Express,9X,FDY
1785,Southern Cross International,,SXI
1786,Southwest Aircraft Charter,,CAK
1787,Southwest Airlines,WN,SWA
1788,Southwind Airlines,2S,STW
1789,Spain - Air Force,,AME
1790,Spain - Army,,ETF
1791,Spain - Coast Guard,,SSM
1792,Spain - Guardia Civil,,DGC
1793,Spain - National Police,,DGP
1794,Sparfell Luftfahrt,,LDX
1795,Sparfell Malta,,QFX
1796,Spartan College of Aeronautics and Technology,,SCU
1797,Specialist Aviation Services,,PLC
1798,Speedwings Executive Jet,,SPG
1799,SpiceJet,SG,SEJ
1800,Spirit Airlines,NK,NKS
1801,SpiritJets,,SJJ
1802,Spree Flug,,SFG
1803,Spring Airlines,9C,CQH
1804,Spring Japan,IJ,SJO
1805,SprintAir,P8,SRN
1806,SprintAir Cargo,,SAR
1807,SR Jet,,QSR
1808,SriLankan Airlines,UL,ALK
1809,Sriwijaya Air,SJ,SJY
1810,St Barth Commuter,PV,SBU
1811,St Barth Executive,LE,STB
1812,STAjets,,KFB
1813,Star Air,S5,SDG
1814,Star Air Cargo,,BRH
1815,Star East Airlines,4R,SEK
1816,Star Fly Wings,,SYW
1817,Star Peru,2I,SRU
1818,Star Wings,,STQ
1819,Star Work Sky,,SWP
1820,Starflyer,7G,SFJ
1821,Stark Airways,,XSK
1822,Starlight Airlines,QP,SLT
1823,Starlink Aviation,Q4,TLK
1824,Starlite Aviation,,TRL
1825,Starlux,JX,SJX
1826,Sterling Airways,VC,SRY
1827,Sterling Aviation,,NSH
1828,STP Airways,8F,STP
1829,Su Airlines,,SUE
1830,Suburban Air Freight,,SUB
1831,Sudan Airways,SD,SUD
1832,Summit Air,,SUT
1833,Summit Aviation,,YEL
1834,Sun Air,,SAV
1835,Sun Air,SO,SNR
1836,Sun Country Airlines,SY,SCX
1837,Sun-Air,EZ,SUS
1838,Sunclass Airlines,DK,VKG
1839,Suncor Energy,,JSN
1840,Sundair,SR,SDR
1841,Sundance Air Venezuela,,SUV
1842,Sundt Air,,AKK
1843,Sundt Air,,MDT
1844,SunExpress,XQ,SXS
1845,Sunkar Air,,BBK
1846,Sunlight Air,2R,RLB
1847,Sunrise Airways,S6,KSZ
1848,Sunstate Airlines,,SSQ
1849,Sunwest Aviation,,CNK
1850,Sunwing Airlines,WG,SWG
1851,Suparna Airlines,Y8,YZR
1852,Super Air Jet,IU,SJV
1853,Supernova Airlines,P7,NPG
1854,Surf Air,,URF
1855,Surinam Airways,PY,SLM
1856,Surveillance Australia,,BDF
1857,Susi Air,,SQS
1858,Suzhou Aviation,,CBW
1859,Svensk Luftambulans,,SWV
1860,Svenskt Ambulansflyg,,SWE
1861,Svenskt Industriflyg,,JET
1862,SVG Air,,SVD
1863,Sweden - Armed Forces,,SVF
1864,Sweden - Coast Guard,,KBV
1865,Sweden - Police,,POL
1866,Sweden - Swedish Maritime Administration,,HMF
1867,Swift Copters,,WFC
1868,Swiftair,WT,SWT
1869,Swiftair Hellas,,MDF
1870,Swiss,LX,SWR
1871,Swiss Flight Services,,SFS
1872,Swiss Helicopter,,HSI
1873,Swiss Private Jet,,SWW
1874,Switzerland - Air Force,,SUI
1875,SXM Airways,,SXM
1876,Sylt Air,7E,AWU
1877,Syncrude Canada,,SYN
1878,Syphax Airlines,Y3,SYA
1879,Syrian Air,RB,SYR
1880,T'way Air,TW,TWB
1881,TAAG Angola Airlines,DT,DTA
1882,TAB Cargo,2L,BOL
1883,Taban Airlines,,TBN
1884,TAG Aviation,,VIP
1885,TAG Aviation Asia,,TBJ
1886,TAG Aviation Cayman,,TCJ
1887,TAG Aviation Malta,,TEU
1888,TAG Aviation San Marino,,TAG
1889,TagAirlines,5U,TGU
1890,Taiga Air,,TGA
1891,Tailwind Airlines,TI,TWI
1892,Tajik Air,7J,TJK
1893,Talon Air,,TFF
1894,Tanana Air Service,Z3,TNR
1895,Tandem-Aero,TQ,TDM
1896,TAP Air Portugal,TP,TAP
1897,Taquan Air,K3,TQN
1898,TAR Aerolineas,YQ,LCT
1899,Tarco Aviation,3T,TQQ
1900,Tarom,RO,ROT
1901,Tashkent Air,,TSK
1902,Tasman Cargo Airlines,HJ,TMN
1903,Tassili Airlines,SF,DTH
1904,Tatra JET,,TTJ
1905,Tbilisi Airways,TD,TBC
1906,TCA,N6,TZS
1907,Team Global Express,,TFX
1908,Ten Airways,X5,OTJ
1909,Terra Avia,T8,TVR
1910,Texel Air,,XLR
1911,Texel Air Australasia,,TNZ
1912,Tez Jet Airlines,K9,TEZ
1913,Thai AirAsia,FD,AIQ
1914,Thai AirAsia X,XJ,TAX
1915,Thai Airways,TG,THA
1916,Thai Lion Air,SL,TLM
1917,Thai VietJet Air,VZ,TVJ
1918,Thalair,,TLJ
1919,Thales UK Flight Inspection Service,,CLB
1920,The Little Jet Company,,LJC
1921,The Mitre Corporation,,MIP
1922,Thrive,,TIV
1923,Thrust Flight,,TRF
1924,Thunder Airlines,,THU
1925,Tianjin Air Cargo,HT,CTJ
1926,Tianjin Airlines,GS,GCR
1927,Tibet Airlines,TV,TBA
1928,Tigerair Taiwan,IT,TTW
1929,Time Air,,TIE
1930,Tinadar Jets,,NAD
1931,Titan Airways,ZT,AWC
1932,Titan Airways Malta,TM,TMT
1933,Total Express,,TOT
1934,Total Linhas Aereas,0T,TTL
1935,Toyo Aviation,,TOY
1936,Trade Air,C3,TDR
1937,Tradewind Aviation,TJ,GPD
1938,Trans Air Congo,Q8,TSG
1939,Trans Am Aero Express del Ecuador,7T,RTM
1940,Trans Guyana Airways,,TGY
1941,Trans Island Airways,,GGT
1942,Trans Maldivian Airways,,TMW
1943,Transair,R2,GTS
1944,Transair,R9,MUI
1945,Transavia,HV,TRA
1946,Transavia France,TO,TVF
1947,Transaviabaltika,,KTB
1948,Transaviaexport Airlines,,TXC
1949,TransNusa,8B,TNU
1950,Travel Management Company,,TMC
1951,Travira Air,,TVV
1952,Travya,,CEO
1953,Trebet Aviation,,AOO
1954,Tri-State Aero,,TSS
1955,Trident Aircraft,,WMN
1956,Trigana Air,IL,TGN
1957,Tropic Air,9N,TOS
1958,Tropic Ocean Airways,TI,FTO
1959,Tsaradia,TZ,TDS
1960,TUI Airlines Belgium,TB,JAF
1961,TUI Airlines Netherlands,OR,TFL
1962,TUI Airways,BY,TOM
1963,TUI fly,X3,TUI
1964,TUI fly Nordic,6B,BLX
1965,Tulpar,,RFE
1966,TUM AeroCarga,T2,MCS
1967,Tunisair,TU,TAR
1968,Tunisair Express,UG,TUX
1969,Tunisia - Air Force,,TUN
1970,Turkey - Air Force,,HVK
1971,Turkey - Government,,TRK
1972,Turkish Airlines,TK,THY
1973,Turkmenistan - Government,,TUG
1974,Turkmenistan Airlines,T5,TUA
1975,Turpial Airlines,T9,VTU
1976,Tus Air,U8,CYF
1977,Twin Jet,T7,TJT
1978,Tyrol Air Ambulance,,TYW
1979,Tyrolean Jets & Services,,TJS
1980,Tyrolean Jets & Services Malta,,TYJ
1981,UG Jet,,UGJ
1982,Uganda Airlines,UR,UGD
1983,Ukraine - State Air Traffic Service,,UTS
1984,Ukraine Air Alliance,,UKL
1985,Ukraine International Airlines,PS,AUI
1986,Ukrainian Wings,,UWJ
1987,ULS Airlines Cargo,GO,KZU
1988,Ultimate Air Shuttle,UE,UJC
1989,UmzaXpress,,UMZ
1990,UND Aerospace,,NDU
1991,UNI Air,B7,UIA
1992,Uni-Fly,,UNC
1993,Uni-Fly Heliworx,,UFX
1994,Uni-Top Airlines,UW,UTP
1995,Unicair,,UNI
1996,Union Aviation,,UAG
1997,Unique Air,,UQA
1998,United Airlines,UA,UAL
1999,United Arab Emirates - Air Force,,UAF
2000,United Aviate Academy,,VAR
2001,United Eagle,,UEE
2002,United Kingdom - Air Ambulance,,HLE
2003,United Kingdom - Army Air Corps,,AAC
2004,United Kingdom - Coast Guard,,SRD
2005,United Kingdom - Maritime and Coastguard Agency,,SRG
2006,United Kingdom - RAF Support Helicopter Force,,SHF
2007,United Kingdom - RAF Warton Military Flight Ops,,WTN
2008,United Kingdom - Royal Air Force,,RFR
2009,United Kingdom - Royal Air Force Air Transport,,RRR
2010,United Kingdom - Royal Navy,,NVY
2011,United Kingdom - UK Royal/VIP Flights,,KRF
2012,United Nations,,UNO
2013,United Nigeria Airlines,UN,NUA
2014,United States - Air Force,,RCH
2015,United States - FAA,,NHK
2016,United States - NASA,,IGY
2017,United States - NOA,,NOA
2018,United States - US Department of Interior,,DOI
2019,United States - US Department of Justice,,DOJ
2020,United States - US Department of State,,DOS
2021,United States - US Forest Service,,XCN
2022,United States - US Immigration and Customs Enforcement,,RPN
2023,United States - US Marshals Service,,MSH
2024,Universal Air,VO,UVL
2025,University of Central Missouri,,UCM
2026,University of Oklahoma,,OUA
2027,Uniworld Air Cargo,U7,UCG
2028,UPS,5X,UPS
2029,UR Airlines,UD,UBD
2030,Ural Airlines,U6,SVR
2031,Urumqi Air,UQ,CUH
2032,US-Bangla Airlines,BS,UBG
2033,USA Jet Airlines,UJ,JUS
2034,USC,XG,USY
2035,Utair,UT,UTA
2036,UVT Aero,RT,UVT
2037,Uzbekistan Airways,HY,UZB
2038,V Air,ZV,VAX
2039,Valair,,VVV
2040,Valletta Airlines,,HOT
2041,VallJet,,VLJ
2042,ValueJet,VK,FVJ
2043,Van Air Europe,V9,VAA
2044,Varesh Airlines,,VRH
2045,Vasco,0V,VFC
2046,Venezolana,WW,KXP
2047,Venezolana,,VNE
2048,Ventura,,VNT
2049,Venture West,,VWA
2050,VeriJet,,WSP
2051,Veteran Airline,,VTF
2052,Veteran Airlines,,VPB
2053,VI Airlink,,VIL
2054,Via Air,,VID
2055,Victory Air,,FTN
2056,Vieques Air Link,V4,VES
2057,VietJet Air,VJ,VJC
2058,Vietnam Airlines,VN,HVN
2059,Vietravel Airlines,VU,VAG
2060,Virgin Atlantic,VS,VIR
2061,Virgin Atlantic International,,VGI
2062,Virgin Australia,VA,VOZ
2063,Virgin Australia Regional,,OZW
2064,Vision Air International,,VIS
2065,Vision Airlines,V2,RBY
2066,Vista America,,VJA
2067,VistaJet,,VJT
2068,VistaJet,H5,VJH
2069,Vistara,UK,VTI
2070,VivaAerobus,VB,VIV
2071,VoePass,2Z,PTB
2072,Volare Aviation,,VLZ
2073,Volaris,Y4,VOI
2074,Volaris Costa Rica,Q6,VOC
2075,Volaris El Salvador,N3,VOS
2076,Volato,,TMB
2077,Volga-Dnepr Airlines,VI,VDA
2078,Volotea,V7,VOE
2079,Voluxis,,VXS
2080,Voyage Air,,VRG
2081,Voyageur Airways,VC,VAL
2082,Vueling,VY,VLG
2083,VW Air Service,,BTX
2084,Wamos Air,EB,PLM
2085,Warbelows Air Ventures,4W,WAV
2086,Wasaya Airways,WP,WSG
2087,Wataniya Airways,,WAN
2088,Wermlandsflyg,,SWX
2089,Wermlandsflyg,,BLW
2090,West Air,PN,CHB
2091,West Air,,WLX
2092,West Air,,PCM
2093,West Air Sweden,T2,SWN
2094,West Atlantic,,NPT
2095,West Coast Charters,,WCC
2096,West Link Airlines,,WLN
2097,Westair Aviation,,WAA
2098,Westair Helicopter Saudi,,WSH
2099,Western Air,WU,WST
2100,Western Air Express,,WAE
2101,Western Aircraft,ST,STT
2102,Western Global Airlines,KD,WGN
2103,Western Michigan University College of Aviation,,WMU
2104,WestJet,WS,WJA
2105,WestJet Encore,WR,WEN
2106,Wheels Up,,WUP
2107,White,WI,WHT
2108,Wideroe,WF,WIF
2109,Wiggins Airways,,WIG
2110,Wiking Helikopter Service,,WHS
2111,Winair,WM,WIA
2112,Windrose Air Jetcharter,,QGA
2113,Windrose Airlines,7W,WRC
2114,Wing Aviation,,CWG
2115,Wingo,,RPB
2116,Wingo Panama,WH,WWP
2117,Wings Air,IW,WON
2118,Wizz Air,W6,WZZ
2119,Wizz Air Abu Dhabi,5W,WAZ
2120,Wizz Air Malta,W4,WMT
2121,Wizz Air UK,W9,WUK
2122,Woodgate Aviation,,CWY
2123,World Atlantic Airlines,WL,WAL
2124,World Cargo Airlines,3G,WCM
2125,World2Fly,2W,WFL
2126,World2Fly Portugal,3P,WPT
2127,Worldwide Jet Charter,,WWI
2128,Wright Air Service,8V,WRF
2129,XE Jet,,XEJ
2130,Xead Aviation,,XED
2131,Xfly,EE,EST
2132,Xiamen Air,MF,CXA
2133,Xinjiang Skylink General Aviation,,KGA
2134,Xo,,XOJ
2135,Yakutia Airlines,R3,SYL
2136,Yamal Airlines,YC,LLM
2137,YanAir,YE,ANR
2138,Yazd Airways,,DZD
2139,Yemenia,IY,IYE
2140,Yeti Airlines,YT,NYT
2141,YTO Cargo Airlines,YG,HYT
2142,Z Air,7Z,EZR
2143,Zafer Air,,HMZ
2144,Zagros Airlines,ZO,IZG
2145,Zambia Airways,ZN,AZB
2146,Zanair,,TAN
2147,Zenflight,,XEN
2148,Zenith Aviation,,BZE
2149,Zetavia,ZK,ZAV
2150,Zeusch Aviation,,SUZ
2151,Zhou Ji Airlines,,JCN
2152,Zil Air,,SYZ
2153,Zimex Aviation,XM,IMX
2154,Zimex Aviation Austria,ZX,AZD
2155,Zipair,ZG,TZP
2156,Zooom,ZO,ZOM
2157,Zorex,,ORZ
2158,ZYB Lily Jet,,MZT
